unique_id,parameter_id,simulation_function,untb_version,date,THETA,M,N,NSAMPS,STEPL,SEED,NBURN
HCEHZ1437F,1,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,10,0.2,1000,600,0.01,41,100
HCEHZ1437F,2,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,20,0.2,1000,600,0.01,41,100
HCEHZ1437F,3,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,30,0.2,1000,600,0.01,41,100
HCEHZ1437F,4,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,1000,600,0.01,41,100
HCEHZ1437F,5,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,50,0.2,1000,600,0.01,41,100
HCEHZ1437F,6,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,60,0.2,1000,600,0.01,41,100
HCEHZ1437F,7,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,70,0.2,1000,600,0.01,41,100
HCEHZ1437F,8,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,80,0.2,1000,600,0.01,41,100
HCEHZ1437F,9,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,90,0.2,1000,600,0.01,41,100
HCEHZ1437F,10,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.01,1000,600,0.01,41,100
HCEHZ1437F,11,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.05,1000,600,0.01,41,100
HCEHZ1437F,12,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.1,1000,600,0.01,41,100
HCEHZ1437F,13,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,1000,600,0.01,41,100
HCEHZ1437F,14,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.3,1000,600,0.01,41,100
HCEHZ1437F,15,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.4,1000,600,0.01,41,100
HCEHZ1437F,16,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.5,1000,600,0.01,41,100
HCEHZ1437F,17,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.6,1000,600,0.01,41,100
HCEHZ1437F,18,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.7,1000,600,0.01,41,100
HCEHZ1437F,19,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.8,1000,600,0.01,41,100
HCEHZ1437F,20,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.9,1000,600,0.01,41,100
HCEHZ1437F,21,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,100,600,0.01,41,100
HCEHZ1437F,22,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,200,600,0.01,41,100
HCEHZ1437F,23,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,300,600,0.01,41,100
HCEHZ1437F,24,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,500,600,0.01,41,100
HCEHZ1437F,25,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,1000,600,0.01,41,100
HCEHZ1437F,26,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,2000,600,0.01,41,100
HCEHZ1437F,27,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,3000,600,0.01,41,100
HCEHZ1437F,28,sim_neutral.R,1.7.4,2022-03-19T10:33:21.649468Z,40,0.2,5000,600,0.01,41,100
